timestamp,master_1,master_2,master_3,master_4,master_5,master_6,follower_1,follower_2,follower_3,follower_4,follower_5,follower_6
1752381941.8310006,1730,845,2509,2672,1856,451,2192,634,2359,2531,1999,1019
1752381941.8409917,1730,845,2509,2672,1856,451,2192,634,2359,2531,1999,1019
1752381941.851994,1730,845,2509,2672,1856,451,2192,634,2359,2531,1999,1019
1752381941.8639982,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381941.8749998,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381941.8850017,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381941.8960047,1730,845,2509,2672,1858,451,2192,634,2359,2531,2001,1019
1752381941.9070084,1730,845,2509,2672,1858,451,2192,634,2359,2531,2001,1019
1752381941.918009,1730,845,2509,2672,1858,451,2192,634,2359,2531,2001,1019
1752381941.9290113,1730,845,2509,2672,1858,451,2192,634,2359,2531,2001,1019
1752381941.9410148,1730,845,2509,2672,1858,451,2192,634,2359,2531,2001,1019
1752381941.9510162,1730,845,2509,2672,1858,451,2192,634,2359,2531,2001,1019
1752381941.9621758,1730,845,2509,2672,1858,451,2192,634,2359,2531,2001,1019
1752381941.9720523,1730,845,2509,2672,1858,451,2192,634,2359,2531,2001,1019
1752381941.983005,1730,845,2509,2672,1858,451,2192,634,2359,2531,2001,1019
1752381941.993023,1730,845,2509,2672,1858,451,2192,634,2359,2531,2001,1019
1752381942.0030422,1730,845,2509,2672,1858,451,2192,634,2359,2531,2001,1019
1752381942.0131125,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.023169,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.033224,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.0435045,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.0535395,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.0635724,1730,845,2509,2672,1856,451,2192,634,2359,2531,1999,1019
1752381942.0736017,1730,845,2509,2672,1856,451,2192,634,2359,2531,1999,1019
1752381942.0848477,1730,845,2509,2672,1856,451,2192,634,2359,2531,1999,1019
1752381942.0945764,1730,845,2509,2672,1856,451,2192,634,2359,2531,1999,1019
1752381942.10552,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.1154358,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.1262581,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.1356115,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.1456137,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.1566167,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.1676185,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.1786215,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.1896236,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.200627,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.2116294,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.2226322,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.2332127,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.2432399,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.2532823,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.2635446,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.2735777,1730,845,2509,2672,1857,451,2192,634,2359,2531,2000,1019
1752381942.2836275,1730,845,2508,2671,1860,451,2192,634,2358,2530,2003,1019
1752381942.2936666,1730,845,2504,2671,1861,451,2192,634,2354,2530,2004,1019
1752381942.303702,1731,845,2500,2670,1861,451,2193,634,2350,2529,2004,1019
1752381942.3149123,1734,845,2495,2670,1857,451,2196,634,2345,2529,2000,1019
1752381942.3250003,1737,845,2489,2670,1856,451,2199,634,2339,2529,1999,1019
1752381942.3353975,1739,845,2482,2670,1855,451,2201,634,2332,2529,1998,1019
1752381942.344556,1741,845,2476,2670,1854,451,2203,634,2326,2529,1997,1019
1752381942.3555481,1743,845,2469,2670,1853,451,2205,634,2319,2529,1996,1019
1752381942.367326,1745,845,2462,2670,1853,451,2207,634,2312,2529,1996,1019
1752381942.3766708,1746,845,2456,2670,1852,451,2208,634,2305,2529,1995,1019
1752381942.3875325,1746,845,2450,2670,1852,451,2208,634,2299,2529,1995,1019
1752381942.396853,1746,845,2445,2670,1851,451,2208,634,2294,2529,1994,1019
1752381942.408607,1744,845,2440,2670,1850,451,2206,634,2289,2529,1993,1019
1752381942.4189014,1742,845,2437,2670,1850,451,2204,634,2286,2529,1993,1019
1752381942.4281015,1740,845,2433,2670,1850,451,2202,634,2282,2529,1993,1019
1752381942.4399154,1738,845,2430,2670,1850,451,2200,634,2279,2529,1993,1019
1752381942.449139,1735,845,2428,2670,1850,451,2197,634,2277,2529,1993,1019
1752381942.4600244,1733,845,2425,2669,1850,451,2195,634,2274,2527,1993,1019
1752381942.4709637,1732,845,2423,2668,1850,451,2194,634,2272,2526,1993,1019
1752381942.4803114,1730,845,2421,2667,1850,451,2192,634,2270,2525,1993,1019
1752381942.4911392,1729,845,2419,2665,1851,451,2191,634,2268,2523,1994,1019
1752381942.5020156,1728,846,2417,2662,1854,451,2190,635,2266,2520,1997,1019
1752381942.5111904,1728,846,2414,2660,1854,451,2190,635,2263,2518,1997,1019
1752381942.522296,1728,846,2411,2657,1855,451,2190,635,2260,2515,1998,1019
1752381942.531871,1728,847,2407,2655,1855,451,2190,636,2256,2513,1998,1019
1752381942.5431314,1728,849,2403,2653,1856,451,2190,639,2252,2511,1999,1019
1752381942.5525308,1728,851,2398,2650,1856,451,2190,641,2247,2507,1999,1019
1752381942.5627248,1729,854,2393,2648,1857,451,2191,644,2241,2505,2000,1019
1752381942.573767,1729,857,2386,2646,1857,451,2191,647,2234,2503,2000,1019
1752381942.58405,1729,863,2379,2643,1857,451,2191,654,2227,2500,2000,1019
1752381942.5954897,1729,872,2370,2642,1857,451,2191,664,2218,2499,2000,1019
1752381942.6062417,1729,882,2360,2640,1857,451,2191,675,2208,2497,2000,1019
1752381942.6154757,1728,894,2350,2638,1857,451,2190,688,2198,2495,2000,1019
1752381942.626376,1727,907,2339,2636,1857,451,2189,702,2187,2493,2000,1019
1752381942.6375477,1726,923,2326,2634,1857,451,2188,720,2173,2491,2000,1019
1752381942.6485512,1725,941,2313,2632,1857,451,2187,740,2160,2488,2000,1019
1752381942.6593518,1724,959,2300,2630,1857,451,2186,760,2147,2486,2000,1019
1752381942.6703088,1722,978,2286,2628,1856,451,2184,781,2133,2484,1999,1019
1752381942.6803205,1722,996,2273,2627,1854,451,2184,801,2120,2483,1997,1019
1752381942.6903512,1722,1014,2258,2625,1853,451,2184,820,2104,2481,1996,1019
1752381942.7003596,1720,1032,2244,2624,1852,451,2182,840,2090,2480,1995,1019
1752381942.7104044,1718,1050,2231,2623,1852,451,2181,860,2077,2479,1995,1019
1752381942.720408,1716,1068,2217,2623,1851,451,2179,880,2063,2479,1994,1019
1752381942.7298286,1714,1087,2204,2622,1851,451,2177,901,2050,2478,1994,1019
1752381942.740912,1711,1105,2191,2622,1851,451,2174,921,2036,2478,1994,1019
1752381942.751145,1707,1121,2177,2622,1851,451,2170,938,2022,2478,1994,1019
1752381942.7608705,1704,1139,2164,2622,1851,451,2167,958,2009,2478,1994,1019
1752381942.7725506,1700,1154,2152,2622,1851,451,2163,975,1997,2478,1994,1019
1752381942.781438,1696,1169,2138,2622,1851,451,2159,991,1982,2478,1994,1019
1752381942.7917507,1693,1184,2126,2622,1851,451,2156,1008,1970,2478,1994,1019
1752381942.8019476,1689,1197,2115,2622,1851,451,2153,1022,1959,2478,1994,1019
1752381942.8122208,1685,1209,2103,2622,1851,451,2149,1035,1947,2478,1994,1019
1752381942.822636,1682,1222,2092,2622,1851,451,2146,1050,1936,2478,1994,1019
1752381942.8335912,1678,1233,2082,2623,1853,451,2142,1062,1926,2479,1996,1019
1752381942.8428113,1672,1243,2072,2623,1855,451,2136,1073,1915,2479,1998,1019
1752381942.8538227,1667,1254,2063,2623,1856,451,2131,1085,1906,2479,1999,1019
1752381942.8655453,1663,1264,2055,2623,1857,451,2127,1096,1898,2479,2000,1019
1752381942.8759747,1658,1274,2047,2623,1857,451,2123,1107,1890,2479,2000,1019
1752381942.8875349,1654,1283,2040,2623,1857,451,2119,1117,1883,2479,2000,1019
1752381942.8968086,1648,1292,2033,2624,1857,451,2113,1127,1876,2480,2000,1019
1752381942.9075174,1643,1301,2027,2624,1857,451,2108,1137,1870,2480,2000,1019
1752381942.9167306,1637,1310,2022,2625,1858,451,2102,1147,1865,2481,2001,1019
1752381942.9277334,1631,1319,2016,2626,1858,451,2096,1156,1859,2482,2001,1019
1752381942.9379878,1626,1329,2011,2627,1861,451,2092,1167,1853,2483,2004,1019
1752381942.9496968,1621,1339,2006,2628,1868,451,2087,1178,1848,2484,2011,1019
1752381942.9607434,1615,1348,2003,2628,1874,451,2081,1188,1845,2484,2017,1019
1752381942.9710355,1610,1357,2001,2628,1884,451,2076,1198,1843,2484,2028,1019
1752381942.9810076,1604,1367,1998,2628,1890,451,2070,1209,1840,2484,2034,1019
1752381942.991028,1598,1376,1996,2628,1894,451,2065,1219,1838,2484,2038,1019
1752381943.0010612,1593,1387,1993,2628,1895,451,2060,1231,1835,2484,2039,1019
1752381943.0117073,1588,1399,1990,2628,1895,451,2055,1245,1832,2484,2039,1019
1752381943.0215712,1583,1411,1987,2628,1895,451,2050,1258,1829,2484,2039,1019
1752381943.0315533,1578,1425,1983,2629,1896,451,2045,1273,1825,2485,2040,1019
1752381943.0423176,1575,1438,1979,2631,1896,451,2042,1288,1821,2487,2040,1019
1752381943.052402,1572,1452,1975,2635,1897,451,2039,1303,1817,2492,2041,1019
1752381943.0624402,1571,1465,1970,2641,1898,455,2038,1317,1812,2498,2042,1027
1752381943.0718582,1571,1479,1965,2647,1900,456,2038,1333,1807,2504,2044,1029
1752381943.0824816,1572,1494,1961,2653,1900,456,2039,1349,1803,2511,2044,1029
1752381943.0928092,1576,1507,1958,2659,1903,456,2043,1364,1800,2517,2047,1029
1752381943.1037629,1580,1518,1957,2664,1911,466,2047,1376,1799,2522,2055,1048
1752381943.113762,1585,1527,1957,2666,1920,488,2052,1386,1799,2524,2064,1091
1752381943.1238496,1585,1533,1954,2664,1922,498,2052,1392,1796,2522,2066,1111
1752381943.134139,1585,1541,1949,2662,1928,503,2052,1401,1791,2520,2072,1121
1752381943.145338,1587,1547,1944,2660,1931,515,2054,1408,1785,2518,2075,1144
1752381943.1560547,1588,1554,1940,2656,1931,523,2055,1415,1781,2514,2075,1160
1752381943.1673512,1589,1562,1933,2654,1931,527,2056,1424,1774,2512,2075,1167
1752381943.176652,1589,1573,1923,2654,1938,530,2056,1436,1764,2512,2082,1173
1752381943.1877716,1588,1585,1913,2656,1944,530,2055,1450,1754,2514,2089,1173
1752381943.198129,1586,1600,1900,2661,1948,531,2053,1466,1741,2519,2093,1175
1752381943.2087235,1586,1615,1885,2667,1950,531,2053,1483,1726,2525,2095,1175
1752381943.2188675,1585,1630,1869,2675,1952,533,2052,1499,1709,2534,2097,1179
1752381943.2285745,1584,1649,1852,2683,1955,533,2051,1520,1692,2542,2100,1179
1752381943.2387302,1583,1669,1834,2692,1961,536,2050,1542,1674,2552,2106,1185
1752381943.2493045,1580,1687,1817,2700,1968,539,2047,1562,1656,2560,2113,1191
1752381943.260351,1579,1706,1800,2707,1975,543,2046,1583,1639,2568,2120,1199
1752381943.2703068,1579,1722,1786,2713,1980,550,2046,1600,1625,2574,2125,1212
1752381943.2813046,1579,1739,1772,2715,1983,557,2046,1619,1611,2576,2128,1226
1752381943.2907634,1579,1753,1760,2717,1984,561,2046,1635,1599,2578,2129,1234
1752381943.3014004,1579,1765,1749,2717,1984,565,2046,1648,1587,2578,2129,1242
1752381943.311437,1581,1777,1740,2717,1984,569,2048,1661,1578,2578,2129,1249
1752381943.3224778,1583,1788,1729,2717,1984,571,2050,1673,1567,2578,2129,1253
1752381943.3326612,1585,1798,1719,2717,1984,573,2052,1684,1557,2578,2129,1257
1752381943.3425503,1587,1808,1711,2717,1984,575,2054,1695,1549,2578,2129,1261
1752381943.3528407,1590,1817,1702,2717,1984,579,2057,1705,1540,2578,2129,1269
1752381943.3638322,1592,1826,1695,2717,1984,583,2059,1715,1533,2578,2129,1277
1752381943.3738635,1595,1833,1687,2717,1984,588,2062,1723,1524,2578,2129,1286
1752381943.3839152,1597,1840,1681,2717,1984,591,2064,1730,1518,2578,2129,1292
1752381943.3939762,1600,1846,1675,2717,1984,595,2067,1737,1512,2578,2129,1300
1752381943.4057477,1602,1851,1669,2717,1984,600,2068,1743,1506,2578,2129,1310
1752381943.4159193,1606,1856,1665,2717,1984,603,2072,1748,1502,2578,2129,1316
1752381943.4257996,1608,1860,1661,2717,1984,607,2074,1753,1498,2578,2129,1324
1752381943.4361112,1611,1864,1658,2717,1984,613,2077,1757,1495,2578,2129,1335
1752381943.4467945,1614,1868,1655,2716,1984,619,2080,1761,1492,2577,2129,1347
1752381943.4568286,1616,1872,1653,2716,1985,628,2082,1766,1490,2577,2130,1365
1752381943.467581,1618,1876,1650,2715,1986,636,2084,1770,1487,2576,2131,1380
1752381943.4788265,1620,1879,1648,2715,1988,643,2086,1773,1485,2576,2133,1394
1752381943.4888973,1621,1883,1646,2714,1990,649,2087,1778,1483,2575,2135,1406
1752381943.4996312,1623,1886,1645,2713,1995,653,2089,1781,1482,2574,2140,1413
1752381943.5099952,1625,1889,1644,2711,1998,655,2091,1784,1481,2572,2143,1417
1752381943.5204737,1627,1893,1642,2710,2003,656,2093,1789,1479,2571,2149,1419
1752381943.5308187,1628,1897,1640,2709,2007,658,2094,1793,1477,2570,2153,1423
1752381943.5420418,1630,1901,1637,2708,2012,662,2096,1798,1474,2569,2158,1431
1752381943.5524027,1633,1905,1633,2708,2016,663,2098,1802,1470,2569,2162,1433
1752381943.5627182,1636,1909,1628,2708,2019,665,2101,1807,1464,2569,2165,1437
1752381943.5727725,1639,1914,1622,2708,2022,666,2104,1812,1458,2569,2168,1439
1752381943.5830586,1642,1918,1617,2708,2025,670,2107,1816,1453,2569,2171,1447
1752381943.594097,1647,1923,1611,2708,2027,671,2112,1822,1447,2569,2173,1448
1752381943.604467,1651,1927,1604,2708,2029,671,2116,1826,1440,2569,2175,1448
1752381943.614718,1656,1930,1598,2708,2030,672,2121,1830,1434,2569,2176,1450
1752381943.6263776,1661,1935,1590,2708,2030,674,2125,1835,1426,2569,2176,1454
1752381943.635647,1667,1938,1583,2708,2030,675,2131,1838,1419,2569,2176,1456
1752381943.6463342,1673,1942,1577,2708,2031,677,2137,1843,1413,2569,2177,1460
1752381943.6566308,1679,1947,1571,2708,2032,678,2143,1848,1407,2569,2178,1462
1752381943.6685076,1685,1951,1565,2708,2033,678,2149,1853,1401,2569,2179,1462
1752381943.6793473,1691,1956,1560,2708,2035,679,2154,1858,1395,2569,2181,1464
1752381943.690139,1697,1961,1554,2708,2037,680,2160,1864,1389,2569,2183,1466
1752381943.700958,1703,1966,1550,2708,2039,681,2166,1869,1385,2569,2185,1468
1752381943.711321,1710,1972,1545,2708,2040,681,2173,1876,1380,2569,2186,1468
1752381943.7222507,1717,1978,1540,2708,2042,682,2180,1883,1375,2569,2188,1470
1752381943.7316878,1723,1984,1537,2708,2042,683,2185,1889,1372,2569,2188,1472
1752381943.7427416,1729,1991,1534,2708,2043,684,2191,1897,1369,2569,2189,1474
1752381943.7522013,1736,1996,1531,2708,2044,685,2198,1902,1366,2569,2190,1476
1752381943.7623858,1743,2001,1530,2708,2044,686,2205,1908,1365,2569,2190,1478
