timestamp,master_1,master_2,master_3,master_4,master_5,master_6,follower_1,follower_2,follower_3,follower_4,follower_5,follower_6
1752382267.8297908,1742,845,2523,2617,1890,451,2204,634,2373,2473,2034,1019
1752382267.839647,1743,845,2523,2617,1890,451,2205,634,2373,2473,2034,1019
1752382267.8493056,1743,845,2523,2617,1890,451,2205,634,2373,2473,2034,1019
1752382267.8606544,1743,845,2523,2617,1891,451,2205,634,2373,2473,2035,1019
1752382267.8711731,1743,845,2523,2617,1891,451,2205,634,2373,2473,2035,1019
1752382267.8809729,1743,845,2523,2617,1891,451,2205,634,2373,2473,2035,1019
1752382267.8908372,1743,845,2523,2617,1891,451,2205,634,2373,2473,2035,1019
1752382267.9001763,1743,845,2523,2617,1891,451,2205,634,2373,2473,2035,1019
1752382267.9108746,1743,845,2523,2617,1891,451,2205,634,2373,2473,2035,1019
1752382267.921582,1743,845,2523,2617,1891,451,2205,634,2373,2473,2035,1019
1752382267.9309537,1743,845,2523,2617,1891,451,2205,634,2373,2473,2035,1019
1752382267.9419806,1743,845,2523,2617,1891,451,2205,634,2373,2473,2035,1019
1752382267.952105,1743,845,2523,2618,1890,451,2205,634,2373,2474,2034,1019
1752382267.9616256,1743,845,2522,2622,1890,451,2205,634,2372,2478,2034,1019
1752382267.9719925,1743,845,2521,2626,1890,451,2205,634,2371,2482,2034,1019
1752382267.9826922,1743,845,2520,2629,1890,451,2205,634,2370,2485,2034,1019
1752382267.9923184,1744,845,2519,2632,1890,451,2206,634,2369,2488,2034,1019
1752382268.002709,1745,845,2518,2633,1890,451,2207,634,2368,2490,2034,1019
1752382268.0135622,1745,846,2518,2634,1890,451,2207,635,2368,2491,2034,1019
1752382268.0246181,1746,846,2518,2635,1890,451,2208,635,2368,2492,2034,1019
1752382268.0348034,1746,846,2517,2637,1890,451,2208,635,2367,2494,2034,1019
1752382268.0459867,1748,846,2517,2638,1890,451,2210,635,2367,2495,2034,1019
1752382268.0566552,1750,846,2517,2638,1889,451,2211,635,2367,2495,2033,1019
1752382268.0680122,1752,846,2517,2638,1889,451,2213,635,2367,2495,2033,1019
1752382268.0767753,1754,846,2517,2638,1888,451,2215,635,2367,2495,2032,1019
1752382268.0872617,1756,846,2517,2638,1888,451,2217,635,2367,2495,2032,1019
1752382268.0970817,1758,846,2517,2638,1888,451,2219,635,2367,2495,2032,1019
1752382268.1079314,1761,846,2517,2638,1888,451,2222,635,2367,2495,2032,1019
